#  m  [GeV] ,  tau  [ps] ,  c ,  BR_theo(B+->K+  a)*BR_theo(a->  gamma  gamma) ,        BR_BaBar(B+->K+  a)*BR_BaBar(a->  gamma  gamma) ,  Allowed/excluded  (1/0) 

0.16408455124660903,0.611576811152169,11.288378916846883,0.44116438775057926,1.855e-07,0
0.16408455124660903,0.47994099307125504,12.742749857031322,0.5621647429504016,1.855e-07,0
0.16408455124660903,0.2955707946784086,16.23776739188721,0.9128300306361048,1.855e-07,0
0.16408455124660903,0.14284729919131176,23.357214690901213,1.8887713720900003,1.855e-07,0
0.16408455124660903,0.06903710185462672,33.59818286283781,3.9081287640459306,1.855e-07,0
0.16408455124660903,0.0333651492696864,48.32930238571752,8.086458039410545,1.855e-07,0
0.16408455124660903,0.0333651492696864,48.32930238571752,8.086458039410545,1.855e-07,0
0.16408455124660903,0.01612514373282278,69.51927961775606,16.731998253164807,1.855e-07,0
0.16408455124660903,0.007793169424648314,100.0,34.62081473357184,1.855e-07,0
0.16408455124660903,0.0023195210897314304,183.29807108324374,116.31964634015429,1.855e-07,0
0.16408455124660903,0.00016125143426614884,695.192796177562,1673.199821720781,1.855e-07,0
0.16408455124660903,1.1210083530095981e-05,2636.6508987303664,24068.140962139918,1.855e-07,0
0.16408455124660903,7.793169311479053e-07,10000.0,346208.14676677383,1.855e-07,0
0.17820189140281986,7171173479161224.0,1e-07,4.0064008047132813e-17,2.0046e-06,1
0.17820189140281986,498534814283921.4,3.792690190732254e-07,5.763006790024751e-16,2.0046e-06,1
0.17820189140281986,34657781152074.043,1.438449888287663e-06,8.289796474327228e-15,2.0046e-06,1
0.17820189140281986,2409383977547.988,5.455594781168514e-06,1.1924456833078022e-13,2.0046e-06,1
0.17820189140281986,167498637164.1604,2.06913808111479e-05,1.71527340194171e-12,2.0046e-06,1
0.17820189140281986,11644382716.914516,7.847599703514623e-05,2.467336055377739e-11,2.0046e-06,1
0.17820189140281986,809503309.9272016,0.00029763514416313193,3.5492137951247174e-10,2.0046e-06,1
